network,code,event_id,detected,p_predicted,lat,p_error,s_confidence,provider,s_detected,mag_type,date,s_error,mag,p_detected,plot_path,p_confidence,s_predicted,epi_distance,time,catalogued,depth,long,unique_id
AM,R50D6,smi:org.gfz-potsdam.de/geofon/gfz2024mwbc,True,2024-07-01T20:10:47.368918,45.088,5.731082,,GFZ,,mb,2024-07-01,,4.88,2024-07-01T20:10:53.100000,F:\Test\data\AM.R50D6\2024-07-01\report\2024-07-01_106_event_plot.png,0.4517241716384887,2024-07-01T20:20:40.175780,8590.62436826197,2024-07-01T19:58:50,True,54.0,149.915,2024-07-01_106
AM,R50D6,smi:org.gfz-potsdam.de/geofon/gfz2024mvvo,True,2024-07-01T17:20:56.180316,14.094,-5.620316,,GFZ,,mb,2024-07-01,,4.78,2024-07-01T17:20:50.560000,F:\Test\data\AM.R50D6\2024-07-01\report\2024-07-01_107_event_plot.png,0.5057298541069031,2024-07-01T17:28:57.678779,6433.141529483783,2024-07-01T17:11:02.830000,True,10.0,51.896,2024-07-01_107
AM,R50D6,smi:org.gfz-potsdam.de/geofon/gfz2024mvib,True,2024-07-01T10:30:13.259371,37.817,-6.769371,,GFZ,,mb,2024-07-01,,4.67,2024-07-01T10:30:06.490000,F:\Test\data\AM.R50D6\2024-07-01\report\2024-07-01_108_event_plot.png,0.4028548896312713,2024-07-01T10:37:37.626383,5751.450207951973,2024-07-01T10:21:03.420000,True,35.0,73.35,2024-07-01_108
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:00:07.960000,,0.3338204622268677,,,2024-07-01T00:00:07.960000,False,,,2024-07-01_04
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:02:23,,0.2394110858440399,,,2024-07-01T00:02:23,False,,,2024-07-01_05
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:02:24,,0.2900541126728058,,,2024-07-01T00:02:24,False,,,2024-07-01_06
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:03:08.010000,,0.8539195656776428,,,2024-07-01T00:03:08.010000,False,,,2024-07-01_07
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:04:37,,0.8368495106697083,,,2024-07-01T00:04:37,False,,,2024-07-01_08
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:06:21.920000,,0.6938788294792175,,,2024-07-01T00:06:21.920000,False,,,2024-07-01_09
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:13:22.330000,,0.4174370467662811,,,2024-07-01T00:13:22.330000,False,,,2024-07-01_10
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:20:40.330000,,0.4432699084281921,,,2024-07-01T00:20:40.330000,False,,,2024-07-01_11
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:21:08.010000,,0.4963160753250122,,,2024-07-01T00:21:08.010000,False,,,2024-07-01_12
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:22:39.260000,,0.2314765900373459,,,2024-07-01T00:22:39.260000,False,,,2024-07-01_13
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:29:53.070000,,0.5228073596954346,,,2024-07-01T00:29:53.070000,False,,,2024-07-01_14
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:30:39.510000,,0.5483081340789795,,,2024-07-01T00:30:39.510000,False,,,2024-07-01_15
AM,R50D6,,True,,,,,Detection,,,2024-07-01,,,2024-07-01T00:41:06.720000,,0.286628395318985,,,2024-07-01T00:41:06.720000,False,,,2024-07-01_16
